Patterns,Sections,Comments
"""software"" AND ""skill""",skills,
"""software"" AND ""proficiency""",about,
"""strength""",summary,
"""strong""",skills,"There could be more combination with this tag, will check and refine later"
"""technical""",summary,
"""technically""",skills,
"""technology""",summary,
"""to""",skills,
"""tool""",achievement,
"""training""",work,
"""understand""",work,
"""understanding""",skills,
"""unit"" AND ""test""",summary,
"""use""",summary,
"""utilize""",work,
"""validate""",work,
"""validation""",skills,
"""version"" AND ""control""",skills,
"""web"" AND ""development""",skills,
"""web"" AND ""framework""",skills,
"""web"" AND ""programming""",skills,
"""web"" AND ""server""",skills,
"""web"" AND ""service""",skills,
"""web"" AND ""technology""",summary,
"""well""",about,
"""willing""",about,
"""willingness""",achievement,
"""win""",about,
"“work"" AND ""extensively”",about,
"“work"" AND ""hard”",about,
"“work"" AND ""in”",about,
"“work"" AND ""on”",work,
"""work""",work,
"""write""",experience / education,
"""year""",,
